Year	Sector	Reporting Legal Name	Facility Name	CO2 (tonnes CO2 eq)	CH4 (tonnes CO2 eq)	N2O (tonnes CO2 eq)	HFC (tonnes CO2 eq)	PFC (tonnes CO2 eq)	SF6 (tonnes CO2 eq)	Total (tonnes CO2 eq)
2009	Oil Sands In Situ Extraction	Imperial Oil Resources	Cold Lake	4201016	13809	21818	0	0	0	4236644
2009	Oil Sands In Situ Extraction	Japan Canada Oil Sands Limited	Hangingstone SAGD Demonstration Facility	240992	1056	374	0	0	0	242422
2009	Oil Sands In Situ Extraction	TransCanada Energy Ltd.	MacKay River Power Plant	855267	1452	6553	0	0	0	863272
2009	Oil Sands In Situ Extraction	Suncor Energy Inc.	"MacKay River, In-Situ Oil Sands Plant"	144307	567	780	0	0	0	145655
2009	Oil Sands In Situ Extraction	Shell Canada Limited	Peace River Complex	258286	3771	1339	0	0	0	263396
2009	Oil Sands In Situ Extraction	Canadian Natural Resources Limited	PAW In-Situ Oilsands Facilities	2833565	93425	17910	0	0	0	2944899
2009	Oil Sands In Situ Extraction	Nexen Inc.	Long Lake Project	1358012	17545	4994	0	0	0	1380552
2009	Oil Sands In Situ Extraction	Husky Oil Operations Limited	Tucker Thermal	272380	167	480	0	0	0	273026
2009	Oil Sands In Situ Extraction	Connacher Oil and Gas Limited	Pod One	205797	27623	305	0	0	0	233726
2009	Oil Sands In Situ Extraction	Devon Canada Corporation	Jackfish SAGD Plant	422199	1615	808	0	0	0	424622
2009	Oil Sands In Situ Extraction	Shell Canada Limited	Orion Complex	131847	828	745	0	0	0	133421
2009	Oil Sands In Situ Extraction	ConocoPhillips Canada Resources Corp.	Surmont SAGD Commercial Battery	377799	1433	636	0	0	0	379868
2009	Oil Sands In Situ Extraction	"Cenovus FCCL Ltd., as operator for FCCL Partnership"	Foster Creek SAGD Bitumen Battery (with Cogen)	1651489	3479	6762	0	0	0	1661729
2009	Oil Sands In Situ Extraction	MEG Energy Corp.	MEG Christina Lake Regional Project	195490	3769	1419	0	0	0	200678
2009	Oil Sands In Situ Extraction	Suncor Energy Oil Sands Limited Partnership	Firebag	1405595	1063	7302	0	0	0	1413960
2009	Oil Sands Mining and Upgrading	Syncrude Canada Ltd.	Mildred Lake and Aurora North Plant Sites	10886101	732093	158759	0	0	0	11776953
2009	Oil Sands Mining and Upgrading	ATCO Power Canada Ltd.	Muskeg River Cogeneration Plant	1112128	1677	6825	0	0	0	1120629
2009	Oil Sands Mining and Upgrading	Shell Canada Energy	Shell Albian Sands Muskeg River Mine	713555	31859	5393	0	0	0	750807
2009	Oil Sands Mining and Upgrading	Shell Canada Energy Limited	Scotford Upgrader and Upgrader Cogeneration	1840933	8228	10758	0	0	0	1859919
2009	Oil Sands Mining and Upgrading	Canadian Natural Resources Limited	Horizon Oil Sands Processing Plant and Mine	2392133	227988	8680	0	0	0	2628801
2009	Oil Sands Mining and Upgrading	Suncor Energy Oil Sands Limited Partnership	Suncor Energy Inc. Oil Sands	8444788	402368	159155	0	0	0	9006312
2009	Petroleum and Coal Products Manufacturing	Suncor Energy Inc.	Edmonton Refinery	1501097	8775	8292	0	0	0	1518163
2009	Petroleum and Coal Products Manufacturing	Shell Canada Products	Shell Scotford Refinery	921758	13954	1922	0	0	0	937634
2009	Petroleum and Coal Products Manufacturing	Imperial Oil	Strathcona Refinery	1343852	3177	7896	0	0	0	1354924
2009	Pipeline Transportation	Foothills Pipe Lines Ltd.	"Foothills Pipeline, Alberta"	198937	12698	2561	0	0	0	214196
2009	Pipeline Transportation	Alliance Pipeline Ltd.	Alberta Pipeline System	532345	23177	3744	0	0	0	559266
2009	Pipeline Transportation	ATCO Gas and Pipelines Ltd.	ATCO Pipelines	81313	144437	3634	0	0	0	229383
2009	Pipeline Transportation	Nova Gas Transmission Ltd.	"TransCanada Pipeline, Alberta System"	1375012	436901	19690	0	0	0	1831603
2009	Primary Metal Manufacturing	Sherritt International Corporation	Fort Saskatchewan	301780	5106	3163	0	0	0	310048
2009	Wood Product Manufacturing	Alberta-Pacific Forest Industries Inc.	Alberta-Pacific Forest Industries Inc.	95556	2020	16908	0	0	0	114484
2009	Wood Product Manufacturing	West Fraser Mills Ltd.	Hinton Pulp	136864	26291	8708	0	0	0	171864
2008	Chemical Manufacturing	Alberta Envirofuels Inc.	Alberta Envirofuels Inc.	278726	731	1658	0	0	0	281115
2008	Chemical Manufacturing	Cancarb Ltd.	Cancarb Ltd.	117209	3084	385	0	0	5	120683
